,LearningRate,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Gini,Time_sec
0,0.001,0.745,0.7458563535911602,0.9642857142857143,0.8411214953271027,0.7395238095238096,0.47904761904761917,0.9765887260437012
1,0.01,0.79,0.80625,0.9214285714285714,0.86,0.768095238095238,0.5361904761904761,1.0098860263824463
2,0.03,0.79,0.8223684210526315,0.8928571428571429,0.8561643835616439,0.7852380952380952,0.5704761904761904,1.0282089710235596
3,0.05,0.78,0.8157894736842105,0.8857142857142857,0.8493150684931505,0.7926190476190477,0.5852380952380953,1.0320827960968018
4,0.1,0.765,0.8120805369127517,0.8642857142857143,0.8373702422145329,0.7821428571428571,0.5642857142857143,1.0538904666900635
5,0.2,0.765,0.8163265306122449,0.8571428571428571,0.8362369337979093,0.7852380952380953,0.5704761904761906,0.9871575832366943
6,0.3,0.76,0.8194444444444444,0.8428571428571429,0.8309859154929577,0.7773809523809524,0.5547619047619048,1.0185856819152832
7,0.5,0.765,0.803921568627451,0.8785714285714286,0.8395904436860069,0.7980952380952382,0.5961904761904764,1.0036509037017822
8,0.7,0.725,0.7972027972027972,0.8142857142857143,0.8056537102473497,0.7551190476190477,0.5102380952380954,1.0109338760375977
9,1.0,0.745,0.8068965517241379,0.8357142857142857,0.8210526315789474,0.7628571428571428,0.5257142857142856,0.9943618774414062
