,n_estimators,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Gini,Time_sec
0,50,0.78,0.8,0.9142857142857143,0.8533333333333333,0.7764285714285716,0.5528571428571432,0.1338198184967041
1,80,0.78,0.8116883116883117,0.8928571428571429,0.8503401360544218,0.7817857142857143,0.5635714285714286,0.18463921546936035
2,100,0.785,0.8129032258064516,0.9,0.8542372881355932,0.7802380952380952,0.5604761904761904,0.22544527053833008
3,200,0.775,0.8145695364238411,0.8785714285714286,0.8453608247422681,0.7841666666666666,0.5683333333333331,0.42055320739746094
4,300,0.79,0.8181818181818182,0.9,0.8571428571428572,0.7834523809523809,0.5669047619047618,0.6150803565979004
5,400,0.76,0.8066666666666666,0.8642857142857143,0.8344827586206898,0.7833333333333333,0.5666666666666667,0.8563084602355957
6,500,0.765,0.8120805369127517,0.8642857142857143,0.8373702422145329,0.7821428571428571,0.5642857142857143,1.0661001205444336
7,800,0.76,0.815068493150685,0.85,0.8321678321678322,0.7797619047619048,0.5595238095238095,1.6224043369293213
8,1000,0.76,0.815068493150685,0.85,0.8321678321678322,0.7775,0.5549999999999999,1.9810092449188232
